row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm
28,29,11.399549480292837,[0.00037324 0.0001853 ],5.14215612411499,[0.00017412 0.0001527 ],[440.43716434  97.09455985],[317.75240138  66.36014089],2,24.69011950492859
28,30,6.222420690892485,[0.0002695  0.00045014 0.00018064],6.4901182651519775,[0.00013266 0.00028544],[173.41073761 355.24274546],[96.29862159 88.14941707],2,17.170862674713135
28,31,8.20974438195204,[0.00017068],2.56073260307312,[0.00013168],[89.98308835],[103.00377599],1,1.6008110046386719
28,32,16.0092495743114,[0.00031203 0.0001661  0.00047814],5.500827312469482,[0.00031244 0.00012142],[467.87990752 302.73691167],[53.25399719 83.83525637],2,28.991273164749146
29,1,8.680294763202049,[0.00588864],2.5225870609283447,[0.00588543],[142.9751913],[854.85207498],1,3.7980494499206543
29,2,16.950161221215993,[0.00157449 0.00031611 0.00019758 0.00051369 0.0010608 ],5.009938478469849,[0.00115997 0.00014082],[ 5.49643919 52.99665658],[986.98351385  76.15012708],2,21.663904666900635
29,3,20.50625874458221,[0.00015784],3.500622034072876,[0.00013468],[185.66953638],[74.01378891],1,7.001929044723511
29,4,8.916312062931748,[0.00036312 0.00051172 0.0001486 ],3.1813807487487793,[0.00012173 0.00033732],[307.2976154  161.60520348],[71.64819846  7.30671762],2,23.515487909317017
29,5,-1.3971928848385962,[0.00623082],2.1472442150115967,[0.00594508],[5929098.34599271],[349.99978753],1,2.4802815914154053
29,6,8.222223108311507,[0.00018237 0.00033226 0.0001499 ],5.674217939376831,[0.00020929 0.00010702],[2.04289313e+08 9.02381912e+01],[399.10145613  62.49553541],2,16.75416922569275
29,7,8.414688889088056,[0.00023461],3.40537691116333,[0.00013369],[82.41715664],[72.50168787],1,6.718376159667969
29,8,7.402692444426383,[0.0001801  0.00015873 0.00033883],3.8133468627929688,[0.00010358 0.00017489],[ 48.32389822 110.42040019],[48.85579593 47.48938895],2,25.7519633769989
29,9,12.951485687637973,[0.00020474],3.9892961978912354,[0.00017803],[189.27717341],[62.0438576],1,4.162191867828369
29,10,8.746602317985442,[0.00017563 0.00032624 0.0001506 ],4.595628261566162,[0.00016376 0.00012296],[918.94285346 162.3128982 ],[118.73200996  87.75775779],2,19.956911325454712
29,11,8.682162609839711,[0.00017562],1.88590407371521,[0.00015482],[161.26131998],[52.85257715],1,6.577089548110962
29,12,9.92249473247861,[0.00030372 0.00057562 0.0002719 ],4.866365194320679,[0.00033138 0.00023989],[190.70906397  48.88886867],[568.22415655  30.73242238],2,12.70129108428955
29,14,28.98195675326363,[0.00743721],1.3054752349853516,[0.00743724],[1.],[997.],1,2.320373058319092
29,15,6.219910024427455,[0.00184672 0.00044279],6.439964532852173,[0.00028688 0.0011525 ],[375.93522045 390.20266702],[2.38969324e+05 1.05346851e+20],2,11.095417022705078
29,16,8.932060002715733,[0.00015941],2.29514741897583,[0.00011296],[60.73705134],[38.29804325],1,1.3033723831176758
29,17,7.825486509162081,[0.0001728],3.1280324459075928,[0.0001443],[190.34139069],[42.2269971],1,3.9233639240264893
29,18,17.150300279258268,[0.00029199 0.00016014 0.00013185],8.576499938964844,[0.00024272 0.00010983],[629.02527529  64.27861319],[ 69.69643721 165.04711068],2,18.929553508758545
29,19,9.893284234082639,[0.00018606 0.00033932 0.00015326],3.0988399982452393,[0.00020961 0.00010352],[808.12204873  98.80603788],[ 85.6570442  106.77976719],2,28.40629553794861
29,21,6.783407737784977,[0.00051362 0.00070257 0.00018895],4.020208120346069,[0.00029507 0.00032458],[14.39799693 13.510214  ],[19.91916166 19.14735655],2,29.519521951675415
